PatentNumber,class,reactants>reagents>production
US08742101B2,,Br[c:2]1[n:3][c:4]2[c:5]([NH2:6])[n:7][n:8][n:9][c:10]2[n:11]1[C@@H:12]1[O:13][C@H:14]([CH2:15][OH:16])[C@@H:17]([OH:18])[C@H:19]1[OH:20].C1CCOC1.C[Al](C)[CH3:1].C[Si](C)(C)N[Si](C)(C)C.Cl[Pd]Cl.c1ccc(P(c2ccccc2)c2ccccc2)cc1>>[CH3:1][c:2]1[n:3][c:4]2[c:5]([NH2:6])[n:7][n:8][n:9][c:10]2[n:11]1[C@@H:12]1[O:13][C@H:14]([CH2:15][OH:16])[C@@H:17]([OH:18])[C@H:19]1[OH:20]
US08975261B2,,CCO.[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([C@H:7]2[CH2:8][C@@H:9]2[CH2:10][O:11][c:12]2[n:13][c:14]3[cH:15][cH:16][cH:17][n:18][c:19]3[cH:20][c:21]2[C:22]2=[CH:23][CH2:24][CH2:25][N:26]([C:27](=[O:28])[O:29][C:30]([CH3:31])([CH3:32])[CH3:33])[CH2:34]2)[n:35][cH:36]1.[Pd]>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([C@H:7]2[CH2:8][C@@H:9]2[CH2:10][O:11][c:12]2[n:13][c:14]3[cH:15][cH:16][cH:17][n:18][c:19]3[cH:20][c:21]2[CH:22]2[CH2:23][CH2:24][CH2:25][N:26]([C:27](=[O:28])[O:29][C:30]([CH3:31])([CH3:32])[CH3:33])[CH2:34]2)[n:35][cH:36]1
US08546434B2,,CC(C)(C)OC(=O)[NH:6][C@H:5]([C:2]([CH3:1])([CH3:3])[CH3:4])[c:7]1[n:8][c:9](-[c:10]2[cH:11][c:12]([F:13])[cH:14][cH:15][c:16]2[F:17])[n:18][n:19]1[CH2:20][c:21]1[cH:22][cH:23][cH:24][c:25]([F:26])[cH:27]1.ClCCl.O=C(O)C(F)(F)F>>[CH3:1][C:2]([CH3:3])([CH3:4])[C@@H:5]([NH2:6])[c:7]1[n:8][c:9](-[c:10]2[cH:11][c:12]([F:13])[cH:14][cH:15][c:16]2[F:17])[n:18][n:19]1[CH2:20][c:21]1[cH:22][cH:23][cH:24][c:25]([F:26])[cH:27]1
US04430337,,CCO.O.O=S([O-])O.[C-:10]#[N:11].[CH3:1][C@@H:2]1[CH:3]=[CH:4][CH2:5][CH2:6][C@H:7]1[CH:8]=[O:9].[K+].[Na+]>>[CH3:1][C@@H:2]1[CH:3]=[CH:4][CH2:5][CH2:6][C@H:7]1[CH:8]([OH:9])[C:10]#[N:11]
US08729072B2,,Br[C@@H:6]([C:4]([O:3][CH2:2][CH3:1])=[O:5])[CH2:7][N:8]([S:9](=[O:10])(=[O:11])[c:12]1[cH:13][cH:14][cH:15][cH:16][cH:17]1)[CH2:18][C@H:19](Br)[C:20](=[O:21])[O:22][CH2:23][CH3:24].Cc1ccccc1.[NH2:25][CH2:26][c:27]1[cH:28][cH:29][cH:30][cH:31][cH:32]1>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[C@H:6]1[CH2:7][N:8]([S:9](=[O:10])(=[O:11])[c:12]2[cH:13][cH:14][cH:15][cH:16][cH:17]2)[CH2:18][C@@H:19]([C:20](=[O:21])[O:22][CH2:23][CH3:24])[N:25]1[CH2:26][c:27]1[cH:28][cH:29][cH:30][cH:31][cH:32]1
US07902200B2,,CC(C)=C(Cl)N(C)C.ClCCl.O[C:7](=[O:8])[c:9]1[cH:10][c:11]([O:12][c:13]2[cH:14][n:15][c:16]([C:17](=[O:18])[N:19]3[CH2:20][CH2:21][CH2:22]3)[cH:23][n:24]2)[cH:25][c:26]([O:27][C@H:28]2[CH2:29][CH2:30][N:31]([CH3:32])[C:33]2=[O:34])[cH:35]1.[CH3:1][c:2]1[cH:3][s:4][c:5]([NH2:6])[n:36]1.c1ccncc1>>[CH3:1][c:2]1[cH:3][s:4][c:5]([NH:6][C:7](=[O:8])[c:9]2[cH:10][c:11]([O:12][c:13]3[cH:14][n:15][c:16]([C:17](=[O:18])[N:19]4[CH2:20][CH2:21][CH2:22]4)[cH:23][n:24]3)[cH:25][c:26]([O:27][C@H:28]3[CH2:29][CH2:30][N:31]([CH3:32])[C:33]3=[O:34])[cH:35]2)[n:36]1
US07935699B2,,CN(C)C(=O)CCn1ccc(N[C:13]([C@@H:6]([c:5]2[cH:4][c:3](Cl)[c:18]([S:19]([CH3:20])(=[O:21])=[O:22])[cH:17][cH:16]2)[CH2:7][CH:8]2[CH2:9][CH2:10][CH2:11][CH2:12]2)=[O:14])n1.CS(C)=O.[CH3:1][OH:2].[Na].[OH2:15]>>[CH3:1][O:2][c:3]1[cH:4][c:5]([C@@H:6]([CH2:7][CH:8]2[CH2:9][CH2:10][CH2:11][CH2:12]2)[C:13](=[O:14])[OH:15])[cH:16][cH:17][c:18]1[S:19]([CH3:20])(=[O:21])=[O:22]
US06018034,,O=O.[Na+].[O:1]=[C:2]1[C@H:4]([OH:5])[C@@H:8]([OH:9])[C@H:6]([OH:7])[C@@H:10]([CH2:12][OH:13])[O:11]1.[OH-].[OH2:3]>>[O:1]=[C:2]([OH:3])[C@H:4]([OH:5])[C@@H:6]([OH:7])[C@H:8]([OH:9])[C@H:10]([OH:11])[CH2:12][OH:13]
US07732609B2,,CC(=O)[O-].CO.Cl.O.O=[C:9]1[c:8]2[c:4]([cH:5][n:6][nH:7]2)[C@@H:3]([CH2:2][CH3:1])[N:15]([S:16](=[O:17])(=[O:18])[c:19]2[cH:20][cH:21][c:22]([Cl:23])[cH:24][cH:25]2)[C@H:12]1[CH2:13][CH3:14].[NH2:10][OH:11].[Na+]>>[CH3:1][CH2:2][C@@H:3]1[c:4]2[cH:5][n:6][nH:7][c:8]2/[C:9](=[N:10]\[OH:11])[C@H:12]([CH2:13][CH3:14])[N:15]1[S:16](=[O:17])(=[O:18])[c:19]1[cH:20][cH:21][c:22]([Cl:23])[cH:24][cH:25]1
US06075149,,C1CCOC1.CC(C)(C)[O-].O=C(O)CC(O)(CC(=O)O)C(=O)O.O=[C:4]([C:5](=[O:6])[O:7][CH3:8])[c:9]1[cH:10][cH:11][cH:12][cH:13][c:14]1[O:15][c:16]1[cH:17][cH:18][n:19](-[c:20]2[cH:21][cH:22][c:23]([Cl:24])[cH:25][cH:26]2)[n:27]1.[Br-].[K+].c1ccc([P+](c2ccccc2)(c2ccccc2)[CH2:3][O:2][CH3:1])cc1>>[CH3:1][O:2]/[CH:3]=[C:4](/[C:5](=[O:6])[O:7][CH3:8])[c:9]1[cH:10][cH:11][cH:12][cH:13][c:14]1[O:15][c:16]1[cH:17][cH:18][n:19](-[c:20]2[cH:21][cH:22][c:23]([Cl:24])[cH:25][cH:26]2)[n:27]1
US06156731,,N=[C:3](N)N[CH2:1][CH2:2][CH2:4][C@H:5]([NH2:6])[C:7](=[O:8])[OH:9].NCC(N)=O>>[CH3:1][CH:2]([CH3:3])[CH2:4][C@H:5]([NH2:6])[C:7](=[O:8])[OH:9]
US08445510B2,,C1COCCO1.CC1(C)OB([c:19]2[cH:18][n:17][c:16]3[nH:15][cH:14][c:13]([C@@H:11]([c:10]4[c:3]([O:2][CH3:1])[cH:4][cH:5][c:6]([F:7])[c:8]4[Cl:9])[CH3:12])[c:31]3[cH:30]2)OC1(C)C.CCN(C(C)C)C(C)C.CN(C)C(On1nnc2ccccc21)=[N+](C)C.CN(C)C=O.Cl[Pd]Cl.F[B-](F)(F)F.O.O=C([O-])[O-].O[C:27]([c:26]1[c:20](Br)[c:21]([CH3:22])[n:23][n:24]1[CH3:25])=[O:29].[Cl-].[Fe+2].[K+].[K+].[NH4+:28].c1ccc(P(c2ccccc2)[c-]2cccc2)cc1.c1ccc(P(c2ccccc2)[c-]2cccc2)cc1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([F:7])[c:8]([Cl:9])[c:10]1[C@@H:11]([CH3:12])[c:13]1[cH:14][nH:15][c:16]2[n:17][cH:18][c:19](-[c:20]3[c:21]([CH3:22])[n:23][n:24]([CH3:25])[c:26]3[C:27]([NH2:28])=[O:29])[cH:30][c:31]12
US09139532B2,,C1CCOC1.[O:1]=[C:2](/[N:3]=[C:4](\[NH:5][c:6]1[cH:7][c:8]([C:9]([F:10])([F:11])[F:12])[n:13][nH:14]1)[NH:17][CH2:18][c:19]1[cH:20][cH:21][c:22]([F:23])[cH:24][c:25]1[Cl:26])[c:27]1[cH:28][cH:29][c:30]([F:31])[c:32]([F:33])[cH:34]1.c1cn([C:15](n2ccnc2)=[O:16])cn1>>[O:1]=[C:2](/[N:3]=[c:4]1\[nH:5][c:6]2[cH:7][c:8]([C:9]([F:10])([F:11])[F:12])[n:13][n:14]2[c:15](=[O:16])[n:17]1[CH2:18][c:19]1[cH:20][cH:21][c:22]([F:23])[cH:24][c:25]1[Cl:26])[c:27]1[cH:28][cH:29][c:30]([F:31])[c:32]([F:33])[cH:34]1
US04420428,,CC(=O)O.CC(=O)OC(C)=O.CS(C)=O.O.[CH3:1][S:2][C:3]1([S:4][CH3:5])[C@H:6]([OH:7])[CH2:8][C@H:9]2[C@@H:10]3[CH2:11][CH2:12][C:13]4=[CH:14][C:15](=[O:16])[CH:17]=[CH:18][C@:19]4([CH3:20])[C@@:21]3([F:22])[C@@H:23]([O:24][C:25]([CH3:26])=[O:27])[CH2:28][C@:29]12[CH3:30]>>[CH3:1][S:2][C:3]1([S:4][CH3:5])[C:6](=[O:7])[CH2:8][C@H:9]2[C@@H:10]3[CH2:11][CH2:12][C:13]4=[CH:14][C:15](=[O:16])[CH:17]=[CH:18][C@:19]4([CH3:20])[C@@:21]3([F:22])[C@@H:23]([O:24][C:25]([CH3:26])=[O:27])[CH2:28][C@:29]12[CH3:30]
US07629358B2,,C1CCOC1.C[O:13][C:11]([CH2:10][c:9]1[cH:8][cH:7][cH:6][c:5]([CH2:4][C:2]([CH3:1])([CH3:3])[NH:15][CH2:16][C@H:17]([O:18][Si:19]([CH3:20])([CH3:21])[C:22]([CH3:23])([CH3:24])[CH3:25])[c:26]2[cH:27][cH:28][c:29]([OH:30])[c:31]([CH2:32][OH:33])[cH:34]2)[cH:14]1)=[O:12].Cl.[Li+].[OH-]>>[CH3:1][C:2]([CH3:3])([CH2:4][c:5]1[cH:6][cH:7][cH:8][c:9]([CH2:10][C:11](=[O:12])[OH:13])[cH:14]1)[NH:15][CH2:16][C@H:17]([O:18][Si:19]([CH3:20])([CH3:21])[C:22]([CH3:23])([CH3:24])[CH3:25])[c:26]1[cH:27][cH:28][c:29]([OH:30])[c:31]([CH2:32][OH:33])[cH:34]1
US08802860B2,,Cl[C:10](=[O:11])[c:12]1[cH:13][cH:14][c:15]([Cl:16])[s:17]1.O=C1NCCO1.[CH3:1][c:2]1[cH:3][c:4]([N:5]2[CH2:6][C@H:7]([CH2:8][NH2:9])[O:18][C:19]2=[O:20])[cH:21][c:22]([CH3:23])[c:24]1-[n:25]1[cH:26][cH:27][cH:28][c:29]([CH2:30][CH2:31][O:32][Si:33]([c:34]2[cH:35][cH:36][cH:37][cH:38][cH:39]2)([c:40]2[cH:41][cH:42][cH:43][cH:44][cH:45]2)[C:46]([CH3:47])([CH3:48])[CH3:49])[c:50]1=[O:51]>>[CH3:1][c:2]1[cH:3][c:4]([N:5]2[CH2:6][C@H:7]([CH2:8][NH:9][C:10](=[O:11])[c:12]3[cH:13][cH:14][c:15]([Cl:16])[s:17]3)[O:18][C:19]2=[O:20])[cH:21][c:22]([CH3:23])[c:24]1-[n:25]1[cH:26][cH:27][cH:28][c:29]([CH2:30][CH2:31][O:32][Si:33]([c:34]2[cH:35][cH:36][cH:37][cH:38][cH:39]2)([c:40]2[cH:41][cH:42][cH:43][cH:44][cH:45]2)[C:46]([CH3:47])([CH3:48])[CH3:49])[c:50]1=[O:51]
US05599816,,CO.O=[N+:16]([O-])[CH2:17][C@H:13]([C@H:12]1[N:8]([C:6]([O:5][C:2]([CH3:1])([CH3:3])[CH3:4])=[O:7])[CH2:9][CH2:10][CH2:11]1)[CH2:14][CH2:15]O.[Pd]>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[N:8]1[CH2:9][CH2:10][CH2:11][C@H:12]1[C@@H:13]1[CH2:14][CH2:15][NH:16][CH2:17]1
US08063099B2,,O[C:10]([c:9]1[cH:8][c:5]([O:6][CH3:7])[cH:4][c:3]([O:2][CH3:1])[cH:35]1)=[O:11].[NH2:12][CH2:13][C@@H:14]1[C@H:15]2[CH2:16][C@H:17]2[CH2:18][N:19]1[C:20](=[O:21])[c:22]1[n:23][c:24]([CH3:25])[s:26][c:27]1-[c:28]1[cH:29][cH:30][cH:31][c:32]([CH3:33])[cH:34]1>>[CH3:1][O:2][c:3]1[cH:4][c:5]([O:6][CH3:7])[cH:8][c:9]([C:10](=[O:11])[NH:12][CH2:13][C@@H:14]2[C@H:15]3[CH2:16][C@H:17]3[CH2:18][N:19]2[C:20](=[O:21])[c:22]2[n:23][c:24]([CH3:25])[s:26][c:27]2-[c:28]2[cH:29][cH:30][cH:31][c:32]([CH3:33])[cH:34]2)[cH:35]1
US09409880B2,,Cc1ccc2c(Cl)c(C(=O)[NH:3][C@H:4]([CH2:5][c:6]3[cH:7][cH:8][cH:9][cH:10][cH:11]3)[C:12](=[O:13])[OH:14])sc2c1.O[C:2](=[O:1])[c:15]1[s:16][c:17]2[cH:18][c:19]([F:20])[cH:21][cH:22][c:23]2[c:24]1[Cl:25]>>[O:1]=[C:2]([NH:3][C@H:4]([CH2:5][c:6]1[cH:7][cH:8][cH:9][cH:10][cH:11]1)[C:12](=[O:13])[OH:14])[c:15]1[s:16][c:17]2[cH:18][c:19]([F:20])[cH:21][cH:22][c:23]2[c:24]1[Cl:25]
US06528504B2,,CCCCCC.CS(=O)(=O)O[C@H:11]1[CH2:10][CH2:9][N:8]([CH2:7][CH2:6][c:5]2[cH:4][cH:3][c:2]([Cl:1])[cH:29][cH:28]2)[CH2:27]1.CS(C)=O.O.[H-].[NH:12]1[c:13]2[cH:14][cH:15][cH:16][cH:17][c:18]2[CH2:19][O:20][c:21]2[cH:22][cH:23][cH:24][cH:25][c:26]21.[Na+]>>[Cl:1][c:2]1[cH:3][cH:4][c:5]([CH2:6][CH2:7][N:8]2[CH2:9][CH2:10][C@@H:11]([N:12]3[c:13]4[cH:14][cH:15][cH:16][cH:17][c:18]4[CH2:19][O:20][c:21]4[cH:22][cH:23][cH:24][cH:25][c:26]43)[CH2:27]2)[cH:28][cH:29]1
US05643878,,COCCOC.[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[NH:8][C@@H:9]([CH2:10][CH:11]1[CH2:12][CH2:13][CH2:14][CH2:15][CH2:16]1)[C@H:17]1[O:18][C:36](=[O:37])[C@H:20]([CH2:21][c:22]2[cH:23][cH:24][c:25]([O:26][CH2:27][c:28]3[cH:29][cH:30][cH:31][cH:32][cH:33]3)[cH:34][cH:35]2)[CH2:19]1.[Li+].[OH-:38]>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[NH:8][C@@H:9]([CH2:10][CH:11]1[CH2:12][CH2:13][CH2:14][CH2:15][CH2:16]1)[C@@H:17]([OH:18])[CH2:19][C@@H:20]([CH2:21][c:22]1[cH:23][cH:24][c:25]([O:26][CH2:27][c:28]2[cH:29][cH:30][cH:31][cH:32][cH:33]2)[cH:34][cH:35]1)[C:36](=[O:37])[OH:38]
US08188119B2,,CO.[C].[Pd].c1ccc(C[O:10][C:8]([CH2:7][CH2:6][C@@H:5]([C:3]([O:2][CH3:1])=[O:4])[NH:11][C:12](=[O:13])[O:14][C:15]([CH3:16])([CH3:17])[CH3:18])=[O:9])cc1>>[CH3:1][O:2][C:3](=[O:4])[C@H:5]([CH2:6][CH2:7][C:8](=[O:9])[OH:10])[NH:11][C:12](=[O:13])[O:14][C:15]([CH3:16])([CH3:17])[CH3:18]
US06677368B2,,C1CCOC1.CC#N.ClCCCl.O[C:4]([c:3]1[c:2]([CH3:1])[c:21](/[CH:22]=[C:23]2\[C:24](=[O:25])[NH:26][c:27]3[cH:28][cH:29][cH:30][c:31](-[c:32]4[c:33]([F:34])[cH:35][cH:36][cH:37][c:38]4[F:39])[c:40]32)[nH:20][cH:19]1)=[O:5].On1nnc2ccccc21.[NH2:6][CH2:7][CH:8]([OH:9])[CH2:10][N:11]1[CH2:12][CH2:13][S:14](=[O:15])(=[O:16])[CH2:17][CH2:18]1>>[CH3:1][c:2]1[c:3]([C:4](=[O:5])[NH:6][CH2:7][CH:8]([OH:9])[CH2:10][N:11]2[CH2:12][CH2:13][S:14](=[O:15])(=[O:16])[CH2:17][CH2:18]2)[cH:19][nH:20][c:21]1/[CH:22]=[C:23]1\[C:24](=[O:25])[NH:26][c:27]2[cH:28][cH:29][cH:30][c:31](-[c:32]3[c:33]([F:34])[cH:35][cH:36][cH:37][c:38]3[F:39])[c:40]21
US07795228B2,,C1CCOC1.CO.Clc1ccccc1Cl.[H][H].[OH-].[OH-].[Pd+2].c1ccc(C[O:22][CH2:21][C@H:20]2[O:19][C@@:18]3([c:10]4[cH:9][c:8]([CH2:7][c:6]5[cH:5][cH:4][c:3]([CH2:2][CH3:1])[cH:30][cH:29]5)[c:13]([Cl:14])[cH:12][c:11]4[O:15][C:16]3=[O:17])[C@H:27]([O:28]Cc3ccccc3)[C@@H:25]([O:26]Cc3ccccc3)[C@@H:23]2[O:24]Cc2ccccc2)cc1>>[CH3:1][CH2:2][c:3]1[cH:4][cH:5][c:6]([CH2:7][c:8]2[cH:9][c:10]3[c:11]([cH:12][c:13]2[Cl:14])[O:15][C:16](=[O:17])[C@:18]32[O:19][C@H:20]([CH2:21][OH:22])[C@@H:23]([OH:24])[C@H:25]([OH:26])[C@H:27]2[OH:28])[cH:29][cH:30]1
US07250515B2,,CC(=O)[O-].Cc1ccccc1.O=[CH:14][c:13]1[cH:12][cH:11][c:10]2[n:9][cH:8][c:5]([C:6]#[N:7])[c:4]([O:3][CH2:2][CH3:1])[c:23]2[cH:22]1.[CH2:15]1[S:16][C:17](=[S:18])[NH:19][C:20]1=[O:21].[NH4+]>>[CH3:1][CH2:2][O:3][c:4]1[c:5]([C:6]#[N:7])[cH:8][n:9][c:10]2[cH:11][cH:12][c:13](/[CH:14]=[C:15]3\[S:16][C:17](=[S:18])[NH:19][C:20]3=[O:21])[cH:22][c:23]12
US07018988B2,,CC(C)(C)OC(=O)[N:22]1[C@H:16]([C:14](O)=[O:15])[CH2:17][C:18](=[CH:19][Cl:20])[CH2:21]1.[CH3:1][CH2:2][n:3]1[c:4]2[cH:5][cH:6][cH:7][cH:8][c:9]2[c:10]2[cH:11][c:12]([NH2:13])[cH:23][cH:24][c:25]12>>[CH3:1][CH2:2][n:3]1[c:4]2[cH:5][cH:6][cH:7][cH:8][c:9]2[c:10]2[cH:11][c:12]([NH:13][C:14](=[O:15])[C@@H:16]3[CH2:17][C:18](=[CH:19][Cl:20])[CH2:21][NH:22]3)[cH:23][cH:24][c:25]12
US07820641B2,,I[c:25]1[cH:24][cH:23][c:21]([OH:22])[c:20]2[c:32]1[CH2:33][C@@H:34]1[C:17](=[C:18]2[OH:19])[C:15](=[O:16])[C@:13]2([OH:14])[C:11]([OH:12])=[C:7]([C:8]([NH2:9])=[O:10])[C:5](=[O:6])[C@@H:4]([N:2]([CH3:1])[CH3:3])[C@@H:36]2[CH2:35]1.O=[C:29]([O-])[CH3:26].O=[C:31]([O-])[CH3:30].O[CH3:28].[Pd+2]>>[CH3:1][N:2]([CH3:3])[C@@H:4]1[C:5](=[O:6])[C:7]([C:8]([NH2:9])=[O:10])=[C:11]([OH:12])[C@@:13]2([OH:14])[C:15](=[O:16])[C:17]3=[C:18]([OH:19])[c:20]4[c:21]([OH:22])[cH:23][cH:24][c:25](-[c:26]5[cH:27][cH:28][cH:29][cH:30][cH:31]5)[c:32]4[CH2:33][C@H:34]3[CH2:35][C@@H:36]12
US04056521,,Br[CH2:5][C:3]1([CH3:4])[S:6][C@@H:7]2[CH:8]([NH:9][C:10](=[O:11])[CH2:12][c:13]3[cH:14][cH:15][cH:16][cH:17][cH:18]3)[C:19](=[O:20])[N:21]2[CH:22]1[C:23](=[O:24])[O:25][CH2:26][C:27]([Cl:28])([Cl:29])[Cl:30].C1CCOC1.F[B-](F)(F)F.[Ag+].[CH3:1][OH:2]>>[CH3:1][O:2][C:3]1([CH3:4])[CH2:5][S:6][C@@H:7]2[CH:8]([NH:9][C:10](=[O:11])[CH2:12][c:13]3[cH:14][cH:15][cH:16][cH:17][cH:18]3)[C:19](=[O:20])[N:21]2[CH:22]1[C:23](=[O:24])[O:25][CH2:26][C:27]([Cl:28])([Cl:29])[Cl:30]
US06329405B1,,Cl[Ni]Cl.O.O.O.O.O.O.O=[N+:17]([O-])[c:16]1[cH:15][cH:14][cH:13][c:12]([CH:4]([NH:3][C@H:2]([CH3:1])[c:19]2[cH:20][cH:21][cH:22][cH:23][cH:24]2)[c:5]2[cH:6][cH:7][c:8]([Cl:9])[cH:10][cH:11]2)[cH:18]1.[BH4-].[Na+]>>[CH3:1][C@@H:2]([NH:3][CH:4]([c:5]1[cH:6][cH:7][c:8]([Cl:9])[cH:10][cH:11]1)[c:12]1[cH:13][cH:14][cH:15][c:16]([NH2:17])[cH:18]1)[c:19]1[cH:20][cH:21][cH:22][cH:23][cH:24]1
US07582761B2,,CCO.Cl[c:17]1[n:18][c:19]2[cH:20][c:21]([C:22]([F:23])([F:24])[F:25])[cH:26][c:27]([NH:28][C:29](=[O:30])[c:31]3[cH:32][c:33]([F:34])[c:35]([F:36])[c:37]([F:38])[cH:39]3)[c:40]2[nH:41]1.[CH3:1][C@@H:2]1[CH2:3][N:4]([c:5]2[n:6][cH:7][c:8]([CH2:9][OH:10])[cH:11][c:12]2[Cl:13])[CH2:14][CH2:15][NH:16]1>>[CH3:1][C@@H:2]1[CH2:3][N:4]([c:5]2[n:6][cH:7][c:8]([CH2:9][OH:10])[cH:11][c:12]2[Cl:13])[CH2:14][CH2:15][N:16]1[c:17]1[n:18][c:19]2[cH:20][c:21]([C:22]([F:23])([F:24])[F:25])[cH:26][c:27]([NH:28][C:29](=[O:30])[c:31]3[cH:32][c:33]([F:34])[c:35]([F:36])[c:37]([F:38])[cH:39]3)[c:40]2[nH:41]1
US08088788B2,,CC#N.CC(C)(C)O[C:5](=O)[NH:4][CH2:3][C@H:2]([CH3:1])[NH:17][c:16]1[c:7]([N+:6](=O)[O-])[cH:8][n:9][c:10]2[cH:11][cH:12][cH:13][cH:14][c:15]21.CO.ClCCl>>[CH3:1][C@H:2]1[CH2:3][NH:4][c:5]2[n:6][c:7]3[cH:8][n:9][c:10]4[cH:11][cH:12][cH:13][cH:14][c:15]4[c:16]3[n:17]21
US08691826B2,,COC(=O)C1=C(C)N(c2cccc(C(F)(F)F)c2)C(NN)=N[C@@H]1c1ccc(C#N)cc1.[CH3:1][O:2][C:3](=[O:4])[NH:5][NH:6][C:7]1=[N:8][CH:9]([c:10]2[cH:11][cH:12][c:13]([C:14]#[N:15])[cH:16][cH:17]2)[C:18]([C:19](=[O:20])[O:21][CH3:22])=[C:23]([CH3:24])[N:25]1[c:26]1[cH:27][cH:28][cH:29][c:30]([C:31]([F:32])([F:33])[F:34])[cH:35]1>>[CH3:1][O:2][C:3](=[O:4])[NH:5][NH:6][C:7]1=[N:8][C@H:9]([c:10]2[cH:11][cH:12][c:13]([C:14]#[N:15])[cH:16][cH:17]2)[C:18]([C:19](=[O:20])[O:21][CH3:22])=[C:23]([CH3:24])[N:25]1[c:26]1[cH:27][cH:28][cH:29][c:30]([C:31]([F:32])([F:33])[F:34])[cH:35]1
US04517180,,CC(=O)O.Cl.O=C(c1ccccc1)[N:2]([CH3:1])[C@@H:3]([CH2:4][c:5]1[cH:6][cH:7][cH:8][cH:9][cH:10]1)[C:11](=[O:12])[OH:13].[C].[H][H].[Pd]>>[CH3:1][NH:2][C@@H:3]([CH2:4][c:5]1[cH:6][cH:7][cH:8][cH:9][cH:10]1)[C:11](=[O:12])[OH:13]
US08987456B2,,C1COCCO1.CC1(C)c2cccc(P(c3ccccc3)c3ccccc3)c2Oc2c(P(c3ccccc3)c3ccccc3)cccc21.Cl.Cl[c:11]1[cH:10][c:9]([NH:8][c:7]2[n:6][c:4]([CH3:5])[cH:3][c:2]([CH3:1])[cH:29]2)[c:26]([C:27]#[N:28])[cH:25][n:24]1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C([O-])[O-].[Cs+].[Cs+].[NH2:12][CH2:13][C@H:14]([CH3:15])[NH:16][C:17](=[O:18])[O:19][C:20]([CH3:21])([CH3:22])[CH3:23].[Pd].[Pd]>>[CH3:1][c:2]1[cH:3][c:4]([CH3:5])[n:6][c:7]([NH:8][c:9]2[cH:10][c:11]([NH:12][CH2:13][C@H:14]([CH3:15])[NH:16][C:17](=[O:18])[O:19][C:20]([CH3:21])([CH3:22])[CH3:23])[n:24][cH:25][c:26]2[C:27]#[N:28])[cH:29]1
US07863271B2,,Cl.ClC(Cl)Cl.Cl[C:6]([O:5][CH2:4][CH:2]([CH3:1])[CH3:3])=[O:7].O.O=C([O-])O.[Li+].[NH:8]1[CH2:9][C@H:10]([CH3:11])[N:12]([c:13]2[n:14][c:15]3[c:16]([C:17](=[O:18])[O-:19])[cH:20][cH:21][cH:22][c:23]3[o:24]2)[C@@H:25]([CH3:26])[CH2:27]1.[Na+]>>[CH3:1][CH:2]([CH3:3])[CH2:4][O:5][C:6](=[O:7])[N:8]1[CH2:9][C@H:10]([CH3:11])[N:12]([c:13]2[n:14][c:15]3[c:16]([C:17](=[O:18])[OH:19])[cH:20][cH:21][cH:22][c:23]3[o:24]2)[C@@H:25]([CH3:26])[CH2:27]1
US07553854B2,,CC(=O)N(C)C.CCN(C(C)C)C(C)C.CS(=O)[c:14]1[n:13][c:12]2[cH:11][cH:10][c:9]([O:8][c:7]3[cH:6][c:5]([C:3]([NH:2][CH3:1])=[O:4])[n:28][cH:27][cH:26]3)[cH:25][c:24]2[s:23]1.Cl.[NH2:15][C@H:16]1[CH2:17][CH2:18][CH2:19][CH2:20][C@@H:21]1[OH:22]>>[CH3:1][NH:2][C:3](=[O:4])[c:5]1[cH:6][c:7]([O:8][c:9]2[cH:10][cH:11][c:12]3[n:13][c:14]([NH:15][C@H:16]4[CH2:17][CH2:18][CH2:19][CH2:20][C@@H:21]4[OH:22])[s:23][c:24]3[cH:25]2)[cH:26][cH:27][n:28]1
